period,official_delay_weeks,model,horizon,WIS,MAE,RMSE,Pearson,Spearman,coverage_50,coverage_80,coverage_95,width_50,width_80,width_95,n_total,n_countries,n_test_seasons,persistence_WIS,relative_WIS_vs_persistence,WIS_reduction_vs_persistence_pct
npi_2020_2021,0,bioepi_sgq_lstm_no_digital,3,0.3430641634043107,0.5305363330968569,0.7367197137927545,0.7257724306694444,0.6464899947049498,0.49367521367521366,0.7442735042735042,0.8933333333333332,0.5635946796593452,1.0038170984617238,1.639341404519625,303.0,3,3,0.36596652605213875,0.9374195151264594,6.258048487354062
npi_2020_2021,0,bioepi_sgq_lstm_no_digital,4,0.37874435371670245,0.5862776247048768,0.8168260781022965,0.6604623722942397,0.5401586764873503,0.49572649572649574,0.7811965811965812,0.9088888888888889,0.6933082179775467,1.2160691760375453,1.7436032834554416,303.0,3,3,0.42234029391929684,0.8967753235240089,10.32246764759911
npi_2020_2021,0,gb_full_raw,1,0.38105194510270296,0.5706220006143691,0.7737202882337669,0.682192774872198,0.6558375993666511,0.3868376068376069,0.5923076923076923,0.7941880341880342,0.4938315819950119,0.8260696658153868,1.6295962312337637,303.0,3,3,0.1759319148088386,2.1659057455080877,-116.59057455080877
npi_2020_2021,0,gb_full_raw,2,0.4575905630909236,0.6713383855831387,0.9001895956012507,0.6388937696512708,0.5580376698919711,0.3627350427350427,0.6143589743589744,0.7429059829059829,0.5819554236823347,1.0390575103701072,1.7470831436336336,303.0,3,3,0.30355673810762374,1.5074300967375935,-50.74300967375935
npi_2020_2021,0,gb_full_raw,3,0.5103005134031551,0.7739263939990727,1.0009324499558911,0.6654708232208064,0.597303681743741,0.3784615384615384,0.6497435897435897,0.7868376068376068,0.5970638014587903,1.3051237030076435,2.5956657364544133,303.0,3,3,0.36596652605213875,1.3943912272743033,-39.43912272743033
npi_2020_2021,0,gb_full_raw,4,0.5493976739401523,0.9120435312543164,1.1367623210797182,0.5865592919655,0.48957216433056217,0.3629059829059829,0.6757264957264958,0.8,0.7884706775067253,2.125163504743269,3.592201759236413,303.0,3,3,0.42234029391929684,1.300841245436871,-30.084124543687096
npi_2020_2021,0,persistence,1,0.1759319148088386,0.257444904578792,0.37894496229481217,0.9192972846212665,0.8976138985296225,0.6458119658119659,0.8429059829059828,0.9555555555555555,0.22962901595869964,0.6145658044205828,1.743946325514117,303.0,3,3,0.1759319148088386,1.0,0.0
npi_2020_2021,0,persistence,2,0.30355673810762374,0.4283959111655417,0.6099709762970733,0.8331463781494676,0.8060056167732638,0.6046153846153846,0.8167521367521368,0.9288888888888889,0.38239569293788017,0.9792282593811659,2.393526132953898,303.0,3,3,0.30355673810762374,1.0,0.0
npi_2020_2021,0,persistence,3,0.36596652605213875,0.5333986831325915,0.7365131071632438,0.7308507045153839,0.7041202595535117,0.5958974358974358,0.8278632478632478,0.9288888888888889,0.49181288765930975,1.3439850666970825,3.0218223273572034,303.0,3,3,0.36596652605213875,1.0,0.0
npi_2020_2021,0,persistence,4,0.42234029391929684,0.6199052302934314,0.850837054120342,0.6440765407468738,0.6228377844957333,0.5852991452991453,0.8584615384615385,0.9422222222222223,0.6575230385312669,1.6913739571234203,3.5257328938027452,303.0,3,3,0.42234029391929684,1.0,0.0
npi_2020_2021,0,ridge_global_open,1,0.40463550162393197,0.6196021858237747,0.7594937019294856,0.6086683240882468,0.5976614596120685,0.37076923076923074,0.6206837606837606,0.8268376068376069,0.6219032430637228,1.214103584185234,2.450236383756747,303.0,3,3,0.1759319148088386,2.2999550824169375,-129.99550824169376
npi_2020_2021,0,ridge_global_open,2,0.6822841088867818,1.0134388155077532,1.2366604468628966,0.5546513647967326,0.5418606707079827,0.3041025641025641,0.5499145299145299,0.8066666666666666,0.8146761393459743,1.6299136430839458,3.3815947557133708,303.0,3,3,0.30355673810762374,2.247632891103485,-124.76328911034851
npi_2020_2021,0,ridge_global_open,3,0.8555128703396607,1.2416013992659147,1.5520395576647323,0.4909448889030099,0.4876777750168211,0.335042735042735,0.5246153846153846,0.8244444444444444,0.9466070828631855,2.0332880302272995,3.8444734351862433,303.0,3,3,0.36596652605213875,2.337680660492367,-133.76806604923667
npi_2020_2021,0,ridge_global_open,4,1.0961764452386045,1.5772630514081232,2.004582871917964,0.4364413146162295,0.39163983371450073,0.3239316239316239,0.5095726495726496,0.7107692307692308,1.2126856120587628,2.553999992557083,4.134495405252987,303.0,3,3,0.42234029391929684,2.595481560772101,-159.5481560772101
