evaluation,official_delay_weeks,model,horizon,WIS,activity
temporal_external_2025_2026,2,bioepi_sgq_lstm_full_raw,1,0.668276941561342,high
temporal_external_2025_2026,2,bioepi_sgq_lstm_full_raw,2,0.7765712517737678,high
temporal_external_2025_2026,2,bioepi_sgq_lstm_full_raw,3,0.8003950549191768,high
temporal_external_2025_2026,2,bioepi_sgq_lstm_full_raw,4,0.8113450675499639,high
temporal_external_2025_2026,2,bioepi_sgq_lstm_no_digital,1,0.6580750136084105,high
temporal_external_2025_2026,2,bioepi_sgq_lstm_no_digital,2,0.7608555115694303,high
temporal_external_2025_2026,2,bioepi_sgq_lstm_no_digital,3,0.7932390337277498,high
temporal_external_2025_2026,2,bioepi_sgq_lstm_no_digital,4,0.788728468864119,high
temporal_external_2025_2026,2,gb_full_raw,1,0.6147483400587174,high
temporal_external_2025_2026,2,gb_full_raw,2,0.7271832937596382,high
temporal_external_2025_2026,2,gb_full_raw,3,0.7494321346138241,high
temporal_external_2025_2026,2,gb_full_raw,4,0.7179313168330848,high
temporal_external_2025_2026,2,persistence,1,0.9144143379540086,high
temporal_external_2025_2026,2,persistence,2,1.0836407088640656,high
temporal_external_2025_2026,2,persistence,3,1.1522665767993494,high
temporal_external_2025_2026,2,persistence,4,1.1296102695024028,high
temporal_external_2025_2026,2,ridge_global_open,1,0.6419528768039316,high
temporal_external_2025_2026,2,ridge_global_open,2,0.778356122208305,high
temporal_external_2025_2026,2,ridge_global_open,3,0.8367415213449544,high
temporal_external_2025_2026,2,ridge_global_open,4,0.7870847384766204,high
temporal_external_2025_2026,2,ridge_google_wiki,1,0.6544591440078557,high
temporal_external_2025_2026,2,ridge_google_wiki,2,0.7282314301605038,high
temporal_external_2025_2026,2,ridge_google_wiki,3,0.7212103601149624,high
temporal_external_2025_2026,2,ridge_google_wiki,4,0.6782374295925409,high
temporal_external_2025_2026,2,ridge_no_digital,1,0.6473981458228216,high
temporal_external_2025_2026,2,ridge_no_digital,2,0.7097174627258079,high
temporal_external_2025_2026,2,ridge_no_digital,3,0.6957454187674473,high
temporal_external_2025_2026,2,ridge_no_digital,4,0.674681413826673,high
temporal_external_2025_2026,2,ridge_raw_cn_search,1,0.5953161868888054,high
temporal_external_2025_2026,2,ridge_raw_cn_search,2,0.6507332177281683,high
temporal_external_2025_2026,2,ridge_raw_cn_search,3,0.654644002024085,high
temporal_external_2025_2026,2,ridge_raw_cn_search,4,0.654508412068935,high
temporal_external_2025_2026,2,ridge_social_raw,1,0.6492595831948322,high
temporal_external_2025_2026,2,ridge_social_raw,2,0.7616673029972851,high
temporal_external_2025_2026,2,ridge_social_raw,3,0.8244196811599697,high
temporal_external_2025_2026,2,ridge_social_raw,4,0.8309124322974943,high
temporal_external_2025_2026,2,seasonal_naive,1,0.75207805341807,high
temporal_external_2025_2026,2,seasonal_naive,2,0.7541455174349704,high
temporal_external_2025_2026,2,seasonal_naive,3,0.7606127058921105,high
